Country Name,Country Code,Series,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,938291,934128,994347,1066937,1134161,1209247,1216378,1240225,1040181,1062959,1112148,1306432,1332584,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,528831,539969,579978,617909,660634,705713,712699,732327,611441,625285,640304,754220,761505,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,409460,394159,414369,449028,473527,503534,..,507898,428740,437674,..,552212,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,42.20012,41.27963,43.3711,46.04692,48.66219,51.7728,52.13619,53.38487,44.8635,46.2086,49.3778,59.28201,62.51036,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,48.46427,48.62378,51.55777,54.39163,57.85033,61.6951,62.39076,64.3817,53.79671,55.39884,57.92069,69.71673,72.7852,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,36.16323,34.20263,35.4847,38.0201,39.83533,42.24959,42.29885,42.83529,36.27337,37.35529,41.14297,49.22013,52.60758,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.39922,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,102161,104946,110996,122555,132932,142449,156015,164572,173269,177572,132803,140657,150134,152182,154425,151937,140042,130380,127114,120062,116646,..,..,..,..,..
Albania,ALB,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,49015,50681,54452,..,..,67279,73287,78073,82892,84400,64543,65854,69388,70165,70891,69301,64494,61161,59586,56161,54469,..,..,..,..,..
Albania,ALB,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,53146,54265,56544,..,..,75170,82728,86499,90377,93172,68260,74803,80746,82017,83534,82636,75548,69219,67528,63901,62177,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,42.78833,43.4739,45.12986,48.79384,51.82918,54.67914,59.46577,62.86989,68.27743,72.18579,73.97672,80.13183,87.06752,90.59639,95.1092,97.67037,94.74076,93.05413,94.21156,92.13709,92.68727,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,41.30083,42.18636,44.4111,..,..,52.34824,56.75883,60.8012,67.18975,71.2038,75.16099,79.00805,85.11045,87.8523,91.10783,92.15436,89.62355,89.50958,91.52152,90.45096,91.92149,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,44.25846,44.74947,45.84438,..,..,56.9487,62.089,64.86176,69.30645,73.09901,72.89075,81.14796,88.82264,93.08372,98.79133,102.83225,99.59528,96.42812,96.72004,93.67176,93.36867,..,..,..,..,..
