DATAFLOW,LAST UPDATE,freq,sex,wstatus,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,1999,11.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2000,10.7,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2001,10.7,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2002,10.2,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2003,9.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2004,9.1,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2005,8.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2006,9.8,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2007,10.2,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2008,9.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2009,8.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2010,8.3,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2011,8.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2012,7.6,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2013,7.1,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2014,6.5,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2015,6.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2016,6.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2017,5.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2018,5.7,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2019,6.1,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2020,6.3,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2021,6.3,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2022,7.4,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2023,7.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Austria,2024,7.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2001,20.0,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2002,19.4,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2003,21.3,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2004,20.6,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2005,20.3,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2006,17.0,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2007,14.7,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2008,15.5,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2009,15.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2010,12.9,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2011,12.6,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2012,13.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2013,12.7,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2014,12.9,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2015,13.4,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2016,13.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2017,13.5,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2018,12.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2019,13.1,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2020,12.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2021,12.8,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2022,11.4,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2023,9.2,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Bulgaria,2024,8.2,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,1999,12.3,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2000,13.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2001,13.1,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2002,11.0,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2003,11.8,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2004,14.9,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2005,10.4,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2006,8.2,b,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2007,6.8,,
ESTAT:EDAT_LFSE_14(1.0),14/04/25 23:00:00,Annual,Females,Population,From 18 to 24 years,Percentage,Cyprus,2008,9.5,,
