"country","year","ger_upsec_total","ger_upsec_female","ger_upsec_male","ner_upsec_total","ner_upsec_female","ner_upsec_male","gov_exp_per_stud","gov_exp_edu","gdp_pc","unemp_int_total","unemp_int_female","unemp_int_male","unemp_total","ESL_female","ESL_male","ESL_total","comp_upsec_rural","comp_upsec_urban","comp_upsec_female","comp_upsec_male","comp_upsec_total"
"Austria",1999,"96.08583","91.70835","100.25548","94.08544","93.01848","95.10173",29.29272,6.11233997344971,27078.7081612201,4.351,4.538,4.212,4.699,11.9,9.6,10.7,NA,NA,NA,NA,NA
"Austria",2000,"95.28753","91.32316","99.06203","92.66917","91.77061","93.5247",27.16046,5.58880996704102,24487.2974685956,4.165,3.988,4.296,4.687,10.7,9.6,10.2,NA,NA,NA,NA,NA
"Austria",2001,"95.25989","91.47879","98.8598",NA,NA,NA,27.05851,5.57547998428345,24430.495982841,3.615,3.556,3.658,4.007,10.7,9.7,10.2,NA,NA,NA,NA,NA
"Austria",2002,"95.38631","90.68836","99.86663","91.76472","90.70804","92.77245",27.00313,5.52213001251221,26334.862215032,4.738,4.331,5.041,4.852,10.2,8.7,9.5,NA,NA,NA,NA,NA
"Austria",2003,"96.65121","91.7194","101.35856","92.1747","91.04928","93.2489",27.87828,5.36183023452759,32110.1159661425,4.232,3.728,4.598,4.779,9.8,8.3,9,NA,NA,NA,NA,NA
"Austria",2004,"96.64892","91.5736","101.49338","89.79727","87.46766","92.02091",26.59278,5.30243015289307,36614.2506533707,5.278,5.324,5.24,5.969,9.1,10.5,9.8,NA,NA,NA,NA,NA
"Austria",2005,"98.81218","94.29302","103.12269","94.81684","94.28773","95.32152",25.39476,5.24937009811401,38157.37022862,4.867,5.07,4.699,5.682,8.9,9.7,9.3,NA,NA,NA,NA,NA
"Austria",2006,"99.44312","95.86561","102.8512","96.5709","96.98396","96.1774",25.70922,5.22652006149292,40382.2078298575,4.575,4.817,4.374,5.32,9.8,10.3,10,0.881099998950958,0.815199971199036,0.862100005149841,0.819500029087067,0.841400027275085
"Austria",2007,"98.22172","94.5627","101.71252","96.73466","93.00107","94.52645",25.40733,5.14690017700195,46622.9622913635,4.147,4.432,3.911,4.909,10.2,11.5,10.8,0.889299988746643,0.791700005531311,0.855099976062775,0.800100028514862,0.828400015830994
"Austria",2008,"96.99605","93.05975","100.75245","95.85194","92.27892","93.65211",26.29943,5.26395988464355,51581.3982361071,3.615,3.71,3.534,4.198,9.9,10.4,10.2,0.880599975585938,0.802699983119965,0.843400001525879,0.820800006389618,0.832499980926514
"Austria",2009,"97.20628","93.03337","101.18597","95.20536","91.47142","92.86766",29.28391,5.73024988174438,47857.4446635266,4.701,4.258,5.078,5.371,8.9,8.6,8.8,0.89190000295639,0.820900022983551,0.852299988269806,0.842700004577637,0.847599983215332
"Austria",2010,"96.05919","92.34922","99.59389","93.13463","89.94139","90.21133",28.43686,5.70047998428345,46611.1393420232,4.411,4.164,4.624,4.883,8.3,8.4,8.3,0.884199976921082,0.817700028419495,0.856100022792816,0.83050000667572,0.843400001525879
"Austria",2011,"94.8294","91.23925","98.24662","93.91868","90.61622","90.77555",29.42218,5.59226989746094,51116.8953522042,4.016,3.927,4.095,4.637,8,9,8.5,0.900600016117096,0.802900016307831,0.860700011253357,0.819999992847443,0.84060001373291
"Austria",2012,"95.68707","92.34128","98.87013","93.89451","90.69398","90.3981",26.71204,5.48040008544922,48250.4059142637,4.436,4.283,4.57,4.909,7.6,8,7.8,0.906300008296967,0.808399975299835,0.867200016975403,0.82940000295639,0.847899973392487
"Austria",2013,"98.92463","95.63243","102.0541","91.33571","91.57208","91.11102",27.58908,5.54711008071899,50305.3545774973,4.748,4.564,4.908,5.367,7.1,7.9,7.5,0.907700002193451,0.824000000953674,0.867399990558624,0.849799990653992,0.858500003814697
"Austria",2014,"99.7727","96.45546","102.92204","91.86998","92.19802","91.55854",27.05619,5.44761991500854,51314.9722616322,5.072,4.702,5.378,5.674,6.5,7.6,7,0.929099977016449,0.857699990272522,0.89630001783371,0.875100016593933,0.885900020599365
"Austria",2015,"100.54135","97.29608","103.61914","91.87662","92.36832","91.4103",27.293,5.45658016204834,43915.228020857,5.508,5.052,5.883,5.802,6.8,7.8,7.3,0.93970000743866,0.84060001373291,0.890399992465973,0.870000004768372,0.880400002002716
"Austria",2016,"100.35442","96.91001","103.62082","91.77928","92.20004","91.38027",27.72044,5.4796199798584,45061.4993920192,5.822,5.441,6.133,6.064,6,7.7,6.9,0.928399980068207,0.861800014972687,0.9064000248909,0.869599997997284,0.887799978256226
"Austria",2017,"98.85204","95.39032","102.13039","91.18931","91.50145","90.8937",NA,5.37159013748169,47163.7425775142,5.105,4.548,5.56,5.561,5.8,9,7.4,0.916999995708466,0.836199998855591,0.894699990749359,0.835799992084503,0.86489999294281
"Austria",2018,"98.01917","94.478","101.36751","90.40722","90.89225","89.9486",NA,5.22655010223389,51194.0749841299,4.311,4.203,4.401,4.933,5.7,8.9,7.3,0.9132000207901,0.839600026607513,0.896200001239777,0.833599984645844,0.865400016307831
"Bulgaria",1999,"99.94559","101.85171","98.14732","79.27691","78.79756","79.72914",NA,NA,1659.71861105493,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2000,"101.60113","103.33592","99.96581","81.87028","80.90596","82.77933",NA,4.21983289718628,1621.26210738992,15.817,15.638,15.961,16.218,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2001,"103.05221","105.02252","101.19293","82.74439","81.92344","83.51908",18.35665,3.38423991203308,1770.90704918691,19.362,18.978,19.67,19.921,20,21,20.5,NA,NA,NA,NA,NA
"Bulgaria",2002,"105.38985","107.10663","103.76671","83.76342","82.98152","84.50266",18.06848,3.38608002662659,2092.98288625558,17.666,17.659,17.672,18.11,19.4,22,20.7,NA,NA,NA,NA,NA
"Bulgaria",2003,"85.13413","86.02632","84.28999","81.02986","80.45089","81.57765",19.76148,3.99845004081726,2719.49436859287,12.499,12.363,12.606,13.733,21.3,22.5,21.9,NA,NA,NA,NA,NA
"Bulgaria",2004,"89.13016","88.62728","89.60721","82.59225","81.89503","83.25367",10.2099,4.24988985061646,3389.68743360274,11.252,11.11,11.361,12.037,20.6,22.2,21.4,NA,NA,NA,NA,NA
"Bulgaria",2005,"89.98334","88.99063","90.92653","82.93726","81.70912","84.10415",21.24879,4.10879993438721,3899.82596332878,9.217,9.557,8.959,10.083,20.3,20.6,20.4,NA,NA,NA,NA,NA
"Bulgaria",2006,"90.80572","89.71786","91.83932","83.26515","82.19778","84.27928",20.16032,3.90346002578735,4523.1465578805,7.694,8.358,7.183,8.951,17,17.7,17.3,0.70959997177124,0.905099987983704,0.815500020980835,0.800000011920929,0.807500004768372
"Bulgaria",2007,"92.04867","90.68611","93.34247","83.19434","82.1281","84.20677",19.53311,3.680340051651,5888.77685220636,5.761,6.26,5.382,6.878,14.7,15.2,14.9,0.745800018310547,0.914699971675873,0.84579998254776,0.846300005912781,0.846000015735626
"Bulgaria",2008,"91.40606","90.71284","92.06311","82.5019","81.49923","83.45226",22.67286,4.2190899848938,7271.30338858025,4.729,4.772,4.696,5.609,15.5,14.1,14.8,0.74210000038147,0.907999992370605,0.83459997177124,0.852400004863739,0.843299984931946
"Bulgaria",2009,"91.71738","90.97538","92.41926","81.87809","80.50536","83.17661",23.35568,4.27429008483887,6988.27316296465,5.933,6.094,5.812,6.817,15.8,13.7,14.7,0.77130001783371,0.916700005531311,0.838199973106384,0.870100021362305,0.854099988937378
"Bulgaria",2010,"93.15125","91.70842","94.51459","81.19918","79.76799","82.55152",23.08243,3.85746002197266,6863.66706774052,10.038,9.768,10.231,10.279,12.9,12.4,12.6,0.762000024318695,0.940400004386902,0.860000014305115,0.873499989509583,0.866999983787537
"Bulgaria",2011,"97.56957","95.31915","99.69542","81.35187","79.6201","82.98779",20.71572,3.54690003395081,7857.16706984441,10.204,9.103,10.986,11.26,12.6,11.2,11.8,0.805000007152557,0.902800023555756,0.852800011634827,0.874499976634979,0.864199995994568
"Bulgaria",2012,"96.66561","94.8811","98.34942","81.42149","79.61955","83.12175",19.05691,3.47650003433228,7430.7373804242,11.567,9.854,12.795,12.27,13,12.1,12.5,0.716099977493286,0.939400017261505,0.887700021266937,0.860499978065491,0.873600006103516
"Bulgaria",2013,"103.58604","101.63257","105.42808","81.60564","79.64884","83.45082",22.18229,4.05766010284424,7687.71368243317,12.368,11.522,12.986,12.941,12.7,12.3,12.5,0.681100010871887,0.924499988555908,0.858799993991852,0.861100018024445,0.860000014305115
"Bulgaria",2014,"111.08469","110.63361","111.5099","83.68767","81.49854","85.75126",NA,4.07005310058594,7912.27484371138,10.8,10.692,10.877,11.424,12.9,12.8,12.9,0.698300004005432,0.950800001621246,0.886699974536896,0.868399977684021,0.877300024032593
"Bulgaria",2015,"112.95832","111.76974","114.0784","87.80834","85.80003","89.70091",NA,3.91208434104919,7078.86032298969,8.384,8.082,8.596,9.143,13.4,13.3,13.4,0.701799988746643,0.952099978923798,0.890699982643127,0.865700006484985,0.878000020980835
"Bulgaria",2016,"111.46057","110.1312","112.71286","89.69743","87.63096","91.64409",NA,3.39370822906494,7570.93165511708,6.766,6.478,6.966,7.575,13.9,13.7,13.8,0.701200008392334,0.937600016593933,0.882300019264221,0.852199971675873,0.866900026798248
"Bulgaria",2017,"110.79782","109.83622","111.70191","90.44462","88.4388","92.33046",NA,4.07755994796753,8381.88134621669,5.147,5.184,5.122,6.164,13.5,12,12.7,0.684499979019165,0.929499983787537,0.842000007629395,0.871299982070923,0.857699990272522
